# ---------------------------------------------------------------------
# Matlab-based LabVIEW reference file generation
# National Instruments Dresden GmbH, Dresden, Germany
# 
# File Data Type        : (Reference) Data
# Generator script      : 
# System model base path: 
# System model SVN rev. : UNKNOWN
# Run date/time         : 14-Apr-2022 13:22:03
# Run by                : user "" on system ""
# ---------------------------------------------------------------------
DataID;real;imag
M ;symbol 0001
D;-0.1543033499620919;0.1543033499620919
D;-1.0801234497346435;-1.0801234497346435
D;-0.7715167498104596;0.7715167498104596
D;0.1543033499620919;-0.4629100498862757
D;-0.4629100498862757;-0.1543033499620919
D;0.7715167498104596;0.7715167498104596
D;0.7715167498104596;0.7715167498104596
D;0.7715167498104596;1.0801234497346435
D;0.1543033499620919;0.1543033499620919
D;0.1543033499620919;-1.0801234497346435
D;-0.7715167498104596;0.1543033499620919
D;1.0801234497346435;-1.0801234497346435
D;-0.1543033499620919;-0.4629100498862757
D;-1.0801234497346435;0.4629100498862757
D;-1.0801234497346435;0.4629100498862757
D;0.1543033499620919;-0.1543033499620919
D;0.7715167498104596;-0.4629100498862757
D;0.7715167498104596;-0.1543033499620919
D;0.4629100498862757;0.4629100498862757
D;1.0801234497346435;0.4629100498862757
D;0.7715167498104596;-0.4629100498862757
D;0.4629100498862757;-0.1543033499620919
D;0.4629100498862757;-0.7715167498104596
D;-0.7715167498104596;-0.4629100498862757
D;0.7715167498104596;-0.1543033499620919
D;-0.1543033499620919;0.4629100498862757
D;-0.1543033499620919;-0.7715167498104596
D;-0.1543033499620919;0.1543033499620919
D;0.1543033499620919;0.7715167498104596
D;0.7715167498104596;-1.0801234497346435
D;-0.4629100498862757;0.1543033499620919
D;-1.0801234497346435;0.4629100498862757
D;-0.4629100498862757;-0.4629100498862757
D;-0.4629100498862757;0.4629100498862757
D;-0.7715167498104596;-1.0801234497346435
D;0.1543033499620919;-0.7715167498104596
D;0.1543033499620919;-1.0801234497346435
D;-1.0801234497346435;-0.4629100498862757
D;0.4629100498862757;0.7715167498104596
D;0.7715167498104596;-1.0801234497346435
D;-1.0801234497346435;-0.7715167498104596
D;-0.1543033499620919;1.0801234497346435
D;0.7715167498104596;0.7715167498104596
D;1.0801234497346435;0.1543033499620919
D;-0.4629100498862757;-0.1543033499620919
D;0.4629100498862757;-0.4629100498862757
D;-0.7715167498104596;-0.4629100498862757
D;0.7715167498104596;-1.0801234497346435
M ;symbol 0002
D;-0.4629100498862757;1.0801234497346435
D;-1.0801234497346435;0.1543033499620919
D;-0.1543033499620919;-1.0801234497346435
D;1.0801234497346435;1.0801234497346435
D;-1.0801234497346435;0.1543033499620919
D;-0.1543033499620919;-1.0801234497346435
D;0.7715167498104596;0.4629100498862757
D;-0.7715167498104596;0.7715167498104596
D;-0.7715167498104596;1.0801234497346435
D;0.4629100498862757;0.4629100498862757
D;-0.7715167498104596;-0.1543033499620919
D;-0.1543033499620919;-0.1543033499620919
D;-0.4629100498862757;0.7715167498104596
D;0.7715167498104596;0.1543033499620919
D;-1.0801234497346435;-1.0801234497346435
D;0.7715167498104596;0.7715167498104596
D;0.7715167498104596;1.0801234497346435
D;-0.1543033499620919;-1.0801234497346435
D;-0.4629100498862757;0.4629100498862757
D;-1.0801234497346435;-0.1543033499620919
D;0.7715167498104596;1.0801234497346435
D;-1.0801234497346435;-0.7715167498104596
D;-0.1543033499620919;0.7715167498104596
D;-0.4629100498862757;0.7715167498104596
D;0.1543033499620919;-1.0801234497346435
D;0.1543033499620919;0.4629100498862757
D;0.7715167498104596;0.7715167498104596
D;-0.1543033499620919;1.0801234497346435
D;-0.1543033499620919;0.4629100498862757
D;0.7715167498104596;0.7715167498104596
D;1.0801234497346435;1.0801234497346435
D;0.7715167498104596;-0.4629100498862757
D;1.0801234497346435;-1.0801234497346435
D;-1.0801234497346435;-1.0801234497346435
D;1.0801234497346435;-1.0801234497346435
D;0.4629100498862757;-0.4629100498862757
D;-0.1543033499620919;0.1543033499620919
D;-0.7715167498104596;-0.7715167498104596
D;0.4629100498862757;-0.7715167498104596
D;0.4629100498862757;0.1543033499620919
D;-1.0801234497346435;-0.7715167498104596
D;0.4629100498862757;-0.7715167498104596
D;0.4629100498862757;-0.4629100498862757
D;0.7715167498104596;-0.1543033499620919
D;0.7715167498104596;0.7715167498104596
D;-1.0801234497346435;0.1543033499620919
D;0.4629100498862757;-0.4629100498862757
D;0.4629100498862757;0.1543033499620919
